	FeatureName	Transcript	Amplicon	GeneID	GeneSymbol	AmpliconSize	IsGeneCard
NOS3	NM_000603	NM_000603	AMPL6459737	4846	NOS3	108	FALSE
VDAC2	NM_001184823	NM_001184823	AMPL9803089	7417	VDAC2	102	FALSE
RORA	NM_134260	NM_134260	AMPL16357407	6095	RORA	102	FALSE
IFI16	NM_005531	NM_005531	AMPL29979548	3428	IFI16	102	FALSE
STK11	NM_000455	NM_000455	AMPL5683663	6794	STK11	107	FALSE
CH25H	NM_003956	NM_003956	AMPL27854164	9023	CH25H	104	FALSE
PRKCA	NM_002737	NM_002737	AMPL7849134	5578	PRKCA	106	TRUE
CCR7	NM_001838	NM_001838	AMPL7903159	1236	CCR7	104	FALSE
CYP51A1	NM_000786	NM_000786	AMPL4443613	1595	CYP51A1	103	FALSE
S100B	NM_006272	NM_006272	AMPL28673514	6285	S100B	99	FALSE
HAND1	NM_004821	NM_004821	AMPL30504373	9421	HAND1	109	TRUE
PRDM1	NM_001198	NM_001198	AMPL9326375	639	PRDM1	108	TRUE
TWIST1	NM_000474	NM_000474	AMPL4491197	7291	TWIST1	104	FALSE
JAG1	NM_000214	NM_000214	AMPL1544343	182	JAG1	108	FALSE
SOCS3	NM_003955	NM_003955	AMPL29197731	9021	SOCS3	101	FALSE
ERCC1	NM_202001	NM_202001	AMPL21410533	2067	ERCC1	105	FALSE
NAA20	NM_016100	NM_016100	AMPL32854830	51126	NAA20	105	FALSE
GRIK2	NM_021956	NM_021956	AMPL35769930	2898	GRIK2	108	FALSE
IL18	NM_001562	NM_001562	AMPL8465094	3606	IL18	106	FALSE
NR1H3	NM_005693	NM_005693	AMPL28616348	10062	NR1H3	109	FALSE
PRKCD	NM_212539	NM_212539	AMPL21697716	5580	PRKCD	111	FALSE
CDKN1B	NM_004064	NM_004064	AMPL30170055	1027	CDKN1B	108	FALSE
GCNT1	NM_001097633	NM_001097633	AMPL5228294	2650	GCNT1	109	FALSE
ATG5	NM_004849	NM_004849	AMPL28988685	9474	ATG5	107	FALSE
TGFA	NM_003236	NM_003236	AMPL9319030	7039	TGFA	108	FALSE
TNFSF13	NM_172088	NM_172088	AMPL17705953	8741	TNFSF13	110	FALSE
NOTCH3	NM_000435	NM_000435	AMPL3430435	4854	NOTCH3	109	FALSE
TXN	NM_003329	NM_003329	AMPL8947994	7295	TXN	106	FALSE
ESD	NM_001984	NM_001984	AMPL11695631	2098	ESD	100	FALSE
CDH9	NM_016279	NM_016279	AMPL33641901	1007	CDH9	108	TRUE
MAOA	NM_000240	NM_000240	AMPL2979713	4128	MAOA	105	FALSE
SIRT1	NM_012238	NM_012238	AMPL13170750	23411	SIRT1	98	FALSE
FERMT1	NM_017671	NM_017671	AMPL33116112	55612	FERMT1	105	FALSE
ATP5F1C	NM_001001973	NM_001001973	AMPL4531796	509	ATP5F1C	104	FALSE
NNMT	NM_006169	NM_006169	AMPL29937114	4837	NNMT	103	FALSE
TASP1	NM_017714	NM_017714	AMPL31877665	55617	TASP1	105	FALSE
STAT1	NM_007315	NM_007315	AMPL12063649	6772	STAT1	109	FALSE
RARG	NM_000966	NM_000966	AMPL2210566	5916	RARG	106	FALSE
MAF	NM_005360	NM_005360	AMPL27618044	4094	MAF	104	FALSE
WNT4	NM_030761	NM_030761	AMPL14115377	54361	WNT4	107	FALSE
TLR5	NM_003268	NM_003268	AMPL7261913	7100	TLR5	100	FALSE
PDCD6	NM_013232	NM_013232	AMPL12822865	10016	PDCD6	112	FALSE
ATM	NM_000051	NM_000051	AMPL2143252	472	ATM	102	FALSE
GPD1	NM_005276	NM_005276	AMPL26842051	2819	GPD1	108	FALSE
SLC7A7	NM_001126106	NM_001126106	AMPL1160511	9056	SLC7A7	104	FALSE
COPS5	NM_006837	NM_006837	AMPL12653841	10987	COPS5	110	FALSE
BCL3	NM_005178	NM_005178	AMPL30061620	602	BCL3	111	FALSE
PLK2	NM_006622	NM_006622	AMPL12811642	10769	PLK2	106	FALSE
MT1X	NM_005952	NM_005952	AMPL29200757	4501	MT1X	107	FALSE
TGFB2	NM_001135599	NM_001135599	AMPL3606742	7042	TGFB2	104	FALSE
EIF2AK3	NM_004836	NM_004836	AMPL29357279	9451	EIF2AK3	102	FALSE
NOTCH1	NM_017617	NM_017617	AMPL33493342	4851	NOTCH1	110	FALSE
MEIS2	NM_170675	NM_170675	AMPL17540119	4212	MEIS2	107	FALSE
ABCG1	NM_004915	NM_004915	AMPL30377626	9619	ABCG1	110	FALSE
ALDH7A1	NM_001201377	NM_001201377	AMPL6844965	501	ALDH7A1	110	FALSE
PTGS1	NM_000962	NM_000962	AMPL6258539	5742	PTGS1	107	FALSE
MSR1	NM_138715	NM_138715	AMPL35297296	4481	MSR1	105	FALSE
SYN1	NM_006950	NM_006950	AMPL13086773	6853	SYN1	103	FALSE
ERBB2	NM_004448	NM_004448	AMPL28173828	2064	ERBB2	105	FALSE
GSTT1	NM_000853	NM_000853	AMPL2532218	2952	GSTT1	110	FALSE
STAR	NM_000349	NM_000349	AMPL4163525	6770	STAR	106	FALSE
ATP6V1B1	NM_001692	NM_001692	AMPL10351114	525	ATP6V1B1	107	FALSE
SERP1	NM_014445	NM_014445	AMPL24913494	27230	SERP1	102	FALSE
EGLN3	NM_022073	NM_022073	AMPL34769505	112399	EGLN3	103	FALSE
MAP3K5	NM_005923	NM_005923	AMPL27107895	4217	MAP3K5	104	FALSE
SLC25A13	NM_001160210	NM_001160210	AMPL8024764	10165	SLC25A13	107	FALSE
RUNX2	NM_001024630	NM_001024630	AMPL2467814	860	RUNX2	108	FALSE
EZH2	NM_004456	NM_004456	AMPL27926041	2146	EZH2	103	FALSE
ISG20	NM_002201	NM_002201	AMPL11176693	3669	ISG20	108	FALSE
PPP3CA	NM_000944	NM_000944	AMPL4724008	5530	PPP3CA	105	FALSE
ACHE	NM_015831	NM_015831	AMPL33186225	43	ACHE	109	FALSE
GSTA4	NM_001512	NM_001512	AMPL8970675	2941	GSTA4	107	FALSE
GATA3	NM_001002295	NM_001002295	AMPL5861722	2625	GATA3	108	FALSE
RELA	NM_021975	NM_021975	AMPL37010581	5970	RELA	109	FALSE
ACE	NM_000789	NM_000789	AMPL2550967	1636	ACE	103	FALSE
HMBS	NM_000190	NM_000190	AMPL2997752	3145	HMBS	110	FALSE
ALDH3B2	NM_001031615	NM_001031615	AMPL881330	222	ALDH3B2	109	FALSE
MAT2A	NM_005911	NM_005911	AMPL27914087	4144	MAT2A	106	FALSE
CRADD	NM_003805	NM_003805	AMPL29683112	8738	CRADD	106	FALSE
FABP7	NM_001446	NM_001446	AMPL11737865	2173	FABP7	106	FALSE
EP300	NM_001429	NM_001429	AMPL7241858	2033	EP300	104	TRUE
MIIP	NM_021933	NM_021933	AMPL37282273	60672	MIIP	108	FALSE
IGF2	NM_001127598	NM_001127598	AMPL1580604	3481	IGF2	106	FALSE
SMAD5	NM_001001420	NM_001001420	AMPL1545649	4090	SMAD5	100	FALSE
SOX6	NM_001145819	NM_001145819	AMPL4763151	55553	SOX6	102	FALSE
EFNA1	NM_004428	NM_004428	AMPL28914035	1942	EFNA1	105	FALSE
MITF	NM_198159	NM_198159	AMPL20770024	4286	MITF	106	FALSE
ME1	NM_002395	NM_002395	AMPL11407185	4199	ME1	110	FALSE
TOP1	NM_003286	NM_003286	AMPL7567651	7150	TOP1	107	FALSE
ACSL4	NM_022977	NM_022977	AMPL34850670	2182	ACSL4	103	FALSE
LAMB1	NM_002291	NM_002291	AMPL8713305	3912	LAMB1	110	FALSE
ETV4	NM_001986	NM_001986	AMPL9805899	2118	ETV4	111	FALSE
UBE2L6	NM_004223	NM_004223	AMPL30280257	9246	UBE2L6	105	FALSE
KITLG	NM_000899	NM_000899	AMPL3354536	4254	KITLG	100	FALSE
ADAM12	NM_003474	NM_003474	AMPL8224738	8038	ADAM12	103	FALSE
XBP1	NM_001079539	NM_001079539	AMPL1273187	7494	XBP1	107	FALSE
GNMT	NM_018960	NM_018960	AMPL31918340	27232	GNMT	109	FALSE
ACAN	NM_013227	NM_013227	AMPL12212149	176	ACAN	109	FALSE
CDH1	NM_004360	NM_004360	AMPL28185772	999	CDH1	104	FALSE
CAMK2B	NM_001220	NM_001220	AMPL6673863	816	CAMK2B	108	FALSE
GPT	NM_005309	NM_005309	AMPL29789650	2875	GPT	108	FALSE
GJA5	NM_181703	NM_181703	AMPL16964666	2702	GJA5	103	FALSE
BCL10	NM_003921	NM_003921	AMPL27731761	8915	BCL10	102	FALSE
ALDH9A1	NM_000696	NM_000696	AMPL1883135	223	ALDH9A1	102	FALSE
GATA6	NM_005257	NM_005257	AMPL28828912	2627	GATA6	103	TRUE
NQO2	NM_000904	NM_000904	AMPL6075065	4835	NQO2	110	FALSE
ATP7B	NM_000053	NM_000053	AMPL4106034	540	ATP7B	105	FALSE
ADORA1	NM_001048230	NM_001048230	AMPL5558635	134	ADORA1	102	FALSE
PIK3R1	NM_181523	NM_181523	AMPL15796294	5295	PIK3R1	107	FALSE
SON	NM_138927	NM_138927	AMPL36049894	6651	SON	110	FALSE
PTEN	NM_000314	NM_000314	AMPL1258705	5728	PTEN	105	FALSE
TMPRSS2	NM_001135099	NM_001135099	AMPL5916979	7113	TMPRSS2	105	FALSE
TRAF2	NM_021138	NM_021138	AMPL35880647	7186	TRAF2	109	FALSE
CDC45	NM_003504	NM_003504	AMPL11493373	8318	CDC45	113	FALSE
ABCA3	NM_001089	NM_001089	AMPL5076273	21	ABCA3	110	FALSE
SCARB2	NM_005506	NM_005506	AMPL26956822	950	SCARB2	107	FALSE
PRKCB	NM_002738	NM_002738	AMPL7639957	5579	PRKCB	104	FALSE
PTH1R	NM_001184744	NM_001184744	AMPL6646500	5745	PTH1R	108	FALSE
SCNN1A	NM_001159576	NM_001159576	AMPL10039407	6337	SCNN1A	105	FALSE
C3	NM_000064	NM_000064	AMPL5507295	718	C3	109	FALSE
EBF1	NM_024007	NM_024007	AMPL36886562	1879	EBF1	107	FALSE
RGS2	NM_002923	NM_002923	AMPL11233532	5997	RGS2	106	FALSE
DST	NM_015548	NM_015548	AMPL31722246	667	DST	102	FALSE
PLAUR	NM_002659	NM_002659	AMPL11346393	5329	PLAUR	105	FALSE
DHRS2	NM_182908	NM_182908	AMPL22044566	10202	DHRS2	106	FALSE
FOXC1	NM_001453	NM_001453	AMPL9711475	2296	FOXC1	105	FALSE
MAP1LC3A	NM_032514	NM_032514	AMPL15244778	84557	MAP1LC3A	107	FALSE
CXCL16	NM_022059	NM_022059	AMPL36686034	58191	CXCL16	105	FALSE
CABP7	NM_182527	NM_182527	AMPL22141315	164633	CABP7	109	TRUE
NRAS	NM_002524	NM_002524	AMPL11267387	4893	NRAS	104	FALSE
UGCG	NM_003358	NM_003358	AMPL10422000	7357	UGCG	104	FALSE
FURIN	NM_002569	NM_002569	AMPL8169189	5045	FURIN	109	FALSE
RAMP3	NM_005856	NM_005856	AMPL26941019	10268	RAMP3	108	FALSE
AKT3	NM_005465	NM_005465	AMPL27377045	10000	AKT3	105	FALSE
PRKCE	NM_005400	NM_005400	AMPL27729990	5581	PRKCE	103	FALSE
SMURF1	NM_181349	NM_181349	AMPL18147969	57154	SMURF1	111	FALSE
CTSA	NM_000308	NM_000308	AMPL4369690	5476	CTSA	107	FALSE
ABCD1	NM_000033	NM_000033	AMPL4354534	215	ABCD1	105	FALSE
FMO1	NM_002021	NM_002021	AMPL11324919	2326	FMO1	105	FALSE
UCHL3	NM_006002	NM_006002	AMPL26873287	7347	UCHL3	106	FALSE
ITGB3	NM_000212	NM_000212	AMPL3868029	3690	ITGB3	104	FALSE
ACAA1	NM_001607	NM_001607	AMPL9520710	30	ACAA1	111	FALSE
TJP1	NM_003257	NM_003257	AMPL7127966	7082	TJP1	103	FALSE
MTOR	NM_004958	NM_004958	AMPL27877510	2475	MTOR	102	FALSE
CTSS	NM_004079	NM_004079	AMPL29536018	1520	CTSS	104	FALSE
GDF3	NM_020634	NM_020634	AMPL31138930	9573	GDF3	105	TRUE
THY1	NM_006288	NM_006288	AMPL27649163	7070	THY1	109	FALSE
SKP2	NM_005983	NM_005983	AMPL29200419	6502	SKP2	105	FALSE
TPMT	NM_000367	NM_000367	AMPL2381812	7172	TPMT	107	FALSE
WSB1	NM_015626	NM_015626	AMPL31413671	26118	WSB1	101	FALSE
LPIN1	NM_145693	NM_145693	AMPL35514946	23175	LPIN1	107	FALSE
BMP7	NM_001719	NM_001719	AMPL11468231	655	BMP7	109	FALSE
BHLHE40	NM_003670	NM_003670	AMPL8382454	8553	BHLHE40	109	FALSE
HRAS	NM_001130442	NM_001130442	AMPL1124340	3265	HRAS	107	FALSE
TAC1	NM_003182	NM_003182	AMPL11638862	6863	TAC1	101	FALSE
ZFP36	NM_003407	NM_003407	AMPL8943364	7538	ZFP36	99	FALSE
SLC7A8	NM_012244	NM_012244	AMPL12495988	23428	SLC7A8	107	FALSE
HPRT1	NM_000194	NM_000194	AMPL3874268	3251	HPRT1	106	FALSE
SLC27A4	NM_005094	NM_005094	AMPL28231426	10999	SLC27A4	106	FALSE
ALDH4A1	NM_003748	NM_003748	AMPL8722244	8659	ALDH4A1	111	FALSE
MCM5	NM_006739	NM_006739	AMPL12756517	4174	MCM5	104	FALSE
ACSL1	NM_001995	NM_001995	AMPL11069973	2180	ACSL1	107	FALSE
DPP4	NM_001935	NM_001935	AMPL8765894	1803	DPP4	104	FALSE
CGA	NM_000735	NM_000735	AMPL5484333	1081	CGA	108	FALSE
CD40	NM_001250	NM_001250	AMPL8158335	958	CD40	107	FALSE
MAPK14	NM_139012	NM_139012	AMPL36223989	1432	MAPK14	108	FALSE
ABCA12	NM_173076	NM_173076	AMPL17392935	26154	ABCA12	105	FALSE
TNFRSF10B	NM_003842	NM_003842	AMPL27739763	8795	TNFRSF10B	103	FALSE
NR4A1	NM_173157	NM_173157	AMPL17525674	3164	NR4A1	108	FALSE
PIK3CA	NM_006218	NM_006218	AMPL27428910	5290	PIK3CA	106	FALSE
MCM2	NM_004526	NM_004526	AMPL27447913	4171	MCM2	110	FALSE
ITGB2	NM_000211	NM_000211	AMPL1792984	3689	ITGB2	106	FALSE
IFIT2	NM_001547	NM_001547	AMPL11110313	3433	IFIT2	100	FALSE
TXNIP	NM_006472	NM_006472	AMPL27978661	10628	TXNIP	108	FALSE
MAPK3	NM_002746	NM_002746	AMPL7175442	5595	MAPK3	107	FALSE
B4GALT1	NM_001497	NM_001497	AMPL9350556	2683	B4GALT1	103	FALSE
RXRG	NM_006917	NM_006917	AMPL13494817	6258	RXRG	109	TRUE
TGM1	NM_000359	NM_000359	AMPL1724043	7051	TGM1	106	FALSE
ATF6	NM_007348	NM_007348	AMPL12390755	22926	ATF6	110	FALSE
AHR	NM_001621	NM_001621	AMPL8460815	196	AHR	103	FALSE
SELL	NM_000655	NM_000655	AMPL2108765	6402	SELL	106	FALSE
BMP4	NM_130851	NM_130851	AMPL16912175	652	BMP4	107	FALSE
DAPK1	NM_004938	NM_004938	AMPL27417322	1612	DAPK1	102	FALSE
SESN1	NM_014454	NM_014454	AMPL24656077	27244	SESN1	107	FALSE
NGFR	NM_002507	NM_002507	AMPL11016506	4804	NGFR	112	FALSE
CDC42	NM_001791	NM_001791	AMPL7914206	998	CDC42	103	FALSE
BTG2	NM_006763	NM_006763	AMPL13497337	7832	BTG2	109	FALSE
CYP2R1	NM_024514	NM_024514	AMPL35165707	120227	CYP2R1	109	FALSE
ATF2	NM_001880	NM_001880	AMPL9992434	1386	ATF2	104	FALSE
COL4A1	NM_001845	NM_001845	AMPL9280010	1282	COL4A1	109	FALSE
NEUROD1	NM_002500	NM_002500	AMPL8735485	4760	NEUROD1	104	FALSE
ACP5	NM_001111036	NM_001111036	AMPL5351157	54	ACP5	111	FALSE
ETS1	NM_001143820	NM_001143820	AMPL3730804	2113	ETS1	106	FALSE
ID3	NM_002167	NM_002167	AMPL11311808	3399	ID3	106	FALSE
CXCR4	NM_003467	NM_003467	AMPL6993127	7852	CXCR4	108	FALSE
FBP1	NM_000507	NM_000507	AMPL3417335	2203	FBP1	110	FALSE
TP73	NM_005427	NM_005427	AMPL29781960	7161	TP73	110	FALSE
TRIM22	NM_006074	NM_006074	AMPL27786133	10346	TRIM22	107	TRUE
CFLAR	NM_003879	NM_003879	AMPL30179124	8837	CFLAR	103	FALSE
KLRK1	NM_007360	NM_007360	AMPL12281234	22914	KLRK1	106	FALSE
USP22	NM_015276	NM_015276	AMPL25182958	23326	USP22	104	FALSE
STAT5A	NM_003152	NM_003152	AMPL8257905	6776	STAT5A	104	FALSE
TNF	NM_000594	NM_000594	AMPL5817290	7124	TNF	105	FALSE
TGFBI	NM_000358	NM_000358	AMPL6332909	7045	TGFBI	110	FALSE
PTPN11	NM_002834	NM_002834	AMPL7836151	5781	PTPN11	107	FALSE
SYK	NM_003177	NM_003177	AMPL7133769	6850	SYK	111	FALSE
TNIP1	NM_006058	NM_006058	AMPL29191291	10318	TNIP1	109	FALSE
RARRES1	NM_206963	NM_206963	AMPL21603242	5918	RARRES1	107	FALSE
RAD51	NM_002875	NM_002875	AMPL10470661	5888	RAD51	108	FALSE
CCN3	NM_002514	NM_002514	AMPL9063485	4856	CCN3	110	FALSE
CAT	NM_001752	NM_001752	AMPL10177254	847	CAT	102	FALSE
DUSP1	NM_004417	NM_004417	AMPL30004924	1843	DUSP1	109	FALSE
IL13RA1	NM_001560	NM_001560	AMPL7230839	3597	IL13RA1	106	FALSE
XIAP	NM_001167	NM_001167	AMPL8778680	331	XIAP	102	FALSE
UCP2	NM_003355	NM_003355	AMPL7758165	7351	UCP2	106	FALSE
AS3MT	NM_020682	NM_020682	AMPL32570187	57412	AS3MT	106	FALSE
VCAN	NM_004385	NM_004385	AMPL27709723	1462	VCAN	106	FALSE
ZBTB18	NM_205768	NM_205768	AMPL21607309	10472	ZBTB18	104	FALSE
HPGD	NM_000860	NM_000860	AMPL4579288	3248	HPGD	107	FALSE
CCNA2	NM_001237	NM_001237	AMPL6726019	890	CCNA2	108	FALSE
LPL	NM_000237	NM_000237	AMPL3701508	4023	LPL	102	FALSE
ABCC3	NM_003786	NM_003786	AMPL8899602	8714	ABCC3	106	FALSE
CDK1	NM_001786	NM_001786	AMPL7721438	983	CDK1	103	FALSE
PKP2	NM_001005242	NM_001005242	AMPL2665015	5318	PKP2	109	FALSE
IKBKB	NM_001556	NM_001556	AMPL11730306	3551	IKBKB	108	FALSE
RASSF5	NM_182663	NM_182663	AMPL21733251	83593	RASSF5	104	FALSE
ACTA2	NM_001613	NM_001613	AMPL10957017	59	ACTA2	105	FALSE
STAT6	NM_003153	NM_003153	AMPL7015100	6778	STAT6	107	FALSE
VEGFC	NM_005429	NM_005429	AMPL26838692	7424	VEGFC	107	FALSE
TNFRSF21	NM_014452	NM_014452	AMPL25518319	27242	TNFRSF21	100	FALSE
CYP26C1	NM_183374	NM_183374	AMPL21630525	340665	CYP26C1	107	FALSE
CBX5	NM_001127321	NM_001127321	AMPL3800491	23468	CBX5	99	FALSE
CST3	NM_000099	NM_000099	AMPL5803464	1471	CST3	110	FALSE
DAB2	NM_001343	NM_001343	AMPL7260755	1601	DAB2	104	FALSE
DUSP6	NM_001946	NM_001946	AMPL8594058	1848	DUSP6	105	FALSE
COMP	NM_000095	NM_000095	AMPL1649342	1311	COMP	110	FALSE
ABCC11	NM_032583	NM_032583	AMPL16427617	85320	ABCC11	107	FALSE
EMX2	NM_004098	NM_004098	AMPL29531130	2018	EMX2	107	FALSE
IL32	NM_001012718	NM_001012718	AMPL1098848	9235	IL32	107	FALSE
SP1	NM_138473	NM_138473	AMPL34828541	6667	SP1	105	FALSE
NR1I2	NM_022002	NM_022002	AMPL35109501	8856	NR1I2	103	FALSE
RARA	NM_000964	NM_000964	AMPL6441312	5914	RARA	107	FALSE
TOP2A	NM_001067	NM_001067	AMPL3666801	7153	TOP2A	103	FALSE
IL6R	NM_000565	NM_000565	AMPL4985060	3570	IL6R	106	FALSE
NFKB2	NM_001077494	NM_001077494	AMPL6185903	4791	NFKB2	100	FALSE
POU3F3	NM_006236	NM_006236	AMPL29405181	5455	POU3F3	105	TRUE
GSTM4	NM_000850	NM_000850	AMPL3013328	2948	GSTM4	101	FALSE
KLF9	NM_001206	NM_001206	AMPL7562179	687	KLF9	107	FALSE
FGF2	NM_002006	NM_002006	AMPL11068514	2247	FGF2	106	FALSE
ACADM	NM_001127328	NM_001127328	AMPL1584268	34	ACADM	105	FALSE
CD44	NM_000610	NM_000610	AMPL4472112	960	CD44	108	TRUE
SLC1A3	NM_004172	NM_004172	AMPL30223488	6507	SLC1A3	109	FALSE
SLC47A1	NM_018242	NM_018242	AMPL32081334	55244	SLC47A1	107	FALSE
HEYL	NM_014571	NM_014571	AMPL25840637	26508	HEYL	106	FALSE
ABCA2	NM_001606	NM_001606	AMPL8099046	20	ABCA2	108	FALSE
BBC3	NM_001127240	NM_001127240	AMPL2181983	27113	BBC3	109	FALSE
CXCL5	NM_002994	NM_002994	AMPL7437425	6374	CXCL5	99	TRUE
ABCB6	NM_005689	NM_005689	AMPL29447135	10058	ABCB6	98	FALSE
WIF1	NM_007191	NM_007191	AMPL12507103	11197	WIF1	105	FALSE
SPP1	NM_001040058	NM_001040058	AMPL5010073	6696	SPP1	109	FALSE
HSPA4	NM_002154	NM_002154	AMPL11432416	3308	HSPA4	102	FALSE
CHGA	NM_001275	NM_001275	AMPL8512809	1113	CHGA	104	FALSE
NCF1	NM_000265	NM_000265	AMPL4378016	653361	NCF1	108	FALSE
FOXP1	NM_032682	NM_032682	AMPL18494168	27086	FOXP1	105	FALSE
CD320	NM_016579	NM_016579	AMPL33032188	51293	CD320	107	FALSE
PNPLA2	NM_020376	NM_020376	AMPL31010631	57104	PNPLA2	109	FALSE
GAD1	NM_000817	NM_000817	AMPL5459512	2571	GAD1	103	FALSE
NLRP1	NM_033004	NM_033004	AMPL16518535	22861	NLRP1	106	FALSE
PERP	NM_022121	NM_022121	AMPL37221087	64065	PERP	108	FALSE
APEX1	NM_001641	NM_001641	AMPL11099164	328	APEX1	111	FALSE
ABCD4	NM_005050	NM_005050	AMPL28234371	5826	ABCD4	106	FALSE
CRYAB	NM_001885	NM_001885	AMPL11709675	1410	CRYAB	105	FALSE
SMAD2	NM_001003652	NM_001003652	AMPL3683813	4087	SMAD2	106	FALSE
ERP44	NM_015051	NM_015051	AMPL25040498	23071	ERP44	106	FALSE
PLA2G2A	NM_001161728	NM_001161728	AMPL11056069	5320	PLA2G2A	106	FALSE
MET	NM_000245	NM_000245	AMPL6356343	4233	MET	103	FALSE
MCOLN1	NM_020533	NM_020533	AMPL31900648	57192	MCOLN1	107	FALSE
PER2	NM_022817	NM_022817	AMPL35387835	8864	PER2	100	FALSE
BDKRB2	NM_000623	NM_000623	AMPL6143285	624	BDKRB2	107	FALSE
KIT	NM_000222	NM_000222	AMPL5414183	3815	KIT	107	FALSE
TFF3	NM_003226	NM_003226	AMPL8796282	7033	TFF3	104	FALSE
NGEF	NM_019850	NM_019850	AMPL31710495	25791	NGEF	107	FALSE
MAPT	NM_001123066	NM_001123066	AMPL1350421	4137	MAPT	108	FALSE
APAF1	NM_181861	NM_181861	AMPL21790783	317	APAF1	102	FALSE
YAP1	NM_001130145	NM_001130145	AMPL5626228	10413	YAP1	108	FALSE
ALAS1	NM_199166	NM_199166	AMPL22069278	211	ALAS1	107	FALSE
ALDH3B1	NM_001030010	NM_001030010	AMPL2399513	221	ALDH3B1	105	FALSE
RUNX3	NM_004350	NM_004350	AMPL28547499	864	RUNX3	108	FALSE
MX1	NM_001178046	NM_001178046	AMPL6647779	4599	MX1	104	FALSE
NRG1	NM_013956	NM_013956	AMPL24254035	3084	NRG1	102	FALSE
TNFRSF6B	NM_003823	NM_003823	AMPL27154192	8771	TNFRSF6B	98	FALSE
FOXG1	NM_005249	NM_005249	AMPL28835218	2290	FOXG1	111	FALSE
PROX1	NM_002763	NM_002763	AMPL8679221	5629	PROX1	108	FALSE
CLOCK	NM_004898	NM_004898	AMPL28491140	9575	CLOCK	100	FALSE
HSD11B2	NM_000196	NM_000196	AMPL4038590	3291	HSD11B2	106	FALSE
CDKN2B	NM_004936	NM_004936	AMPL18141488	1030	CDKN2B	103	FALSE
